pesticide_id,pesticide_name,active_ingredient,formulation_type,concentration,dilution_rate,unit_area_amount,safety_interval,max_residue_limit,price,toxicity_level,notes
1,25%吡唑醚菌酯悬浮剂,吡唑醚菌酯,悬浮剂,25.0,1500.0,30克/亩,14,0.5,350.00,低毒,对斑病特效，具有保护和治疗作用
2,30%苯醚甲环唑悬浮剂,苯醚甲环唑,悬浮剂,30.0,3000.0,15克/亩,21,0.2,280.00,低毒,内吸性杀菌剂，对锈病效果好
3,40%氟环唑悬浮剂,氟环唑,悬浮剂,40.0,5000.0,10克/亩,28,0.1,400.00,低毒,对黑粉病有特效
4,5%甲维盐乳油,甲氨基阿维菌素苯甲酸盐,乳油,5.0,2000.0,50毫升/亩,7,0.02,320.00,中毒,对鳞翅目害虫高效
5,20%氯虫苯甲酰胺悬浮剂,氯虫苯甲酰胺,悬浮剂,20.0,3000.0,10克/亩,3,0.01,800.00,微毒,对玉米螟特效
6,10%噻虫嗪悬浮剂,噻虫嗪,悬浮剂,10.0,2000.0,20克/亩,14,0.05,200.00,低毒,内吸性杀虫剂，对蓟马效果好
7,50%多菌灵可湿性粉剂,多菌灵,可湿性粉剂,50.0,800.0,75克/亩,14,0.5,40.00,低毒,广谱杀菌剂
8,30%精甲霜灵悬浮剂,精甲霜灵,悬浮剂,30.0,1500.0,20克/亩,21,0.1,300.00,低毒,对根腐病和苗枯病有效
9,70%代森锰锌可湿性粉剂,代森锰锌,可湿性粉剂,70.0,600.0,150克/亩,7,1.0,120.00,低毒,保护性杀菌剂
10,15%三唑酮可湿性粉剂,三唑酮,可湿性粉剂,15.0,1000.0,100克/亩,28,0.2,100.00,低毒,对锈病有特效
11,吡唑醇酯酯-戊唑醇-癸酐,吡唑醚菌酯+戊唑醇+癸酸,悬浮剂,25.0,1500.0,30毫升/亩,14,0.5,380.00,低毒,对玉米斑病特效，具有保护和治疗作用
12,噻菌酯-阿米西达,噻菌酯,悬浮剂,25.0,1000.0,50毫升/亩,21,0.3,420.00,低毒,广谱杀菌剂，对多种病害有效
13,丙环唑-噻菌酯-凯润,丙环唑+噻菌酯,悬浮剂,30.0,1200.0,40毫升/亩,28,0.2,450.00,低毒,对玉米锈病有特效
14,三唑酮-粉铵宁,三唑酮,可湿性粉剂,15.0,800.0,50克/亩,28,0.2,100.00,低毒,经济型锈病防治药剂
15,吡唑醇酯酯-绿妃,吡唑醚菌酯+氟环唑,悬浮剂,20.0,1500.0,40毫升/亩,21,0.15,500.00,低毒,高效杀菌剂，对锈病和斑病均有效
16,戊唑醇-好力克,戊唑醇,可湿性粉剂,25.0,1000.0,100克/亩,28,0.1,220.00,低毒,对黑粉病有良好防效
17,高效氯氟氰菊酯-功夫,高效氯氟氰菊酯,乳油,5.0,2000.0,20毫升/亩,7,0.02,300.00,中毒,对玉米粘虫高效，速效性好
18,溴氰菊酯-松杀死,溴氰菊酯,乳油,2.5,1500.0,15毫升/亩,7,0.01,280.00,中毒,对鳞翅目害虫有良好防效
19,氯虫苯甲酰胺-康宽,氯虫苯甲酰胺,悬浮剂,20.0,3000.0,10毫升/亩,3,0.01,800.00,微毒,对玉米螟特效，持效期长
20,辛硫磺颗粒剂,辛硫磷,颗粒剂,3.0,,500克/亩,14,0.5,50.00,中毒,土壤处理防治地下害虫
21,吡虫啉-艾美乐,吡虫啉,可湿性粉剂,10.0,2000.0,20克/亩,14,0.05,200.00,低毒,内吸性杀虫剂，对蓟马效果好
22,噻虫嗪-阿克索,噻虫嗪,水分散粒剂,25.0,2500.0,10克/亩,14,0.05,180.00,低毒,对刺吸式口器害虫高效
23,噻菌酯-适乐时,噻菌酯,悬浮剂,2.5,,2毫升/千克种子,0,0.01,600.00,微毒,种子处理剂，防治种传和土传病害
24,甲基硫菌灵-甲基托布津,甲基硫菌灵,可湿性粉剂,70.0,800.0,100克/亩,21,0.5,80.00,低毒,广谱内吸性杀菌剂
