病虫害名称,生长阶段,推荐农药,推荐用量,价格(元/公斤),毒性等级,施用方法,施药方案,效果评级,安全间隔期(天),注意事项
玉米斑病,抽雄期,吡唑醇酯酯-戊唑醇-癸酐,30.00 30毫升/亩,380.0,低毒,喷雾,"2次, 间隔7天",★★★★★,14,对玉米斑病特效，具有保护和治疗作用
玉米斑病,抽雄期,70%代森锰锌可湿性粉剂,150.00 150克/亩,120.0,低毒,喷雾,"2次, 间隔7天",★★★★☆,7,保护性杀菌剂
玉米斑病,抽雄期,噻菌酯-阿米西达,50.00 50毫升/亩,420.0,低毒,喷雾,"2次, 间隔10天",★★★★☆,21,广谱杀菌剂，对多种病害有效
玉米斑病,拔节期,50%多菌灵可湿性粉剂,75.00 75克/亩,40.0,低毒,喷雾,"2次, 间隔10天",★★★★☆,14,广谱杀菌剂
玉米斑病,灌浆期,吡唑醇酯酯-戊唑醇-癸酐,30.00 30毫升/亩,380.0,低毒,喷雾,1次,★★★★★,14,对玉米斑病特效，具有保护和治疗作用
玉米斑病,灌浆期,噻菌酯-阿米西达,50.00 50毫升/亩,420.0,低毒,喷雾,1次,★★★★☆,21,广谱杀菌剂，对多种病害有效
玉米斑病,苗期,25%吡唑醚菌酯悬浮剂,30.00 30克/亩,350.0,低毒,喷雾,"2次, 间隔7天",★★★★★,14,对斑病特效，具有保护和治疗作用
玉米根腐病,苗期,噻菌酯-适乐时,2.00 2毫升/千克种子,600.0,微毒,拌种,1次,★★★★☆,0,种子处理剂，防治种传和土传病害
玉米根腐病,苗期,30%精甲霜灵悬浮剂,20.00 20克/亩,300.0,低毒,灌根,1次,★★★★☆,21,对根腐病和苗枯病有效
玉米根腐病,苗期,50%多菌灵可湿性粉剂,75.00 75克/亩,40.0,低毒,拌种,1次,★★★☆☆,14,广谱杀菌剂
玉米苗枯病,苗期,50%多菌灵可湿性粉剂,75.00 75克/亩,40.0,低毒,拌种,1次,★★★★★,14,广谱杀菌剂
玉米苗枯病,苗期,30%精甲霜灵悬浮剂,20.00 20克/亩,300.0,低毒,灌根,1次,★★★★☆,21,对根腐病和苗枯病有效
玉米苗枯病,苗期,甲基硫菌灵-甲基托布津,100.00 100克/亩,80.0,低毒,喷雾,1次,★★★☆☆,21,广谱内吸性杀菌剂
玉米蓟马,拔节期,吡虫啉-艾美乐,20.00 20克/亩,200.0,低毒,喷雾,"2次, 间隔10天",★★★★☆,14,内吸性杀虫剂，对蓟马效果好
玉米蓟马,拔节期,噻虫嗪-阿克索,10.00 10克/亩,180.0,低毒,喷雾,"2次, 间隔10天",★★★★☆,14,对刺吸式口器害虫高效
玉米蓟马,苗期,10%噻虫嗪悬浮剂,20.00 20克/亩,200.0,低毒,喷雾,"2次, 间隔10天",★★★★★,14,内吸性杀虫剂，对蓟马效果好
玉米蓟马,苗期,吡虫啉-艾美乐,20.00 20克/亩,200.0,低毒,喷雾,"2次, 间隔10天",★★★★☆,14,内吸性杀虫剂，对蓟马效果好
玉米蓟马,苗期,噻虫嗪-阿克索,10.00 10克/亩,180.0,低毒,喷雾,"2次, 间隔10天",★★★★☆,14,对刺吸式口器害虫高效
玉米螟(钻心虫),抽雄期,氯虫苯甲酰胺-康宽,10.00 10毫升/亩,800.0,微毒,喷雾,1次,★★★★★,3,对玉米螟特效，持效期长
玉米螟(钻心虫),抽雄期,5%甲维盐乳油,50.00 50毫升/亩,320.0,中毒,喷雾,1次,★★★★☆,7,对鳞翅目害虫高效
玉米螟(钻心虫),抽雄期,辛硫磺颗粒剂,500.00 500克/亩,50.0,中毒,撒施,1次,★★★★☆,14,土壤处理防治地下害虫
玉米螟(钻心虫),拔节期,20%氯虫苯甲酰胺悬浮剂,10.00 10克/亩,800.0,微毒,喷雾,1次,★★★★★,3,对玉米螟特效
玉米螟(钻心虫),拔节期,氯虫苯甲酰胺-康宽,10.00 10毫升/亩,800.0,微毒,喷雾,1次,★★★★★,3,对玉米螟特效，持效期长
玉米螟(钻心虫),拔节期,辛硫磺颗粒剂,500.00 500克/亩,50.0,中毒,撒施,1次,★★★★☆,14,土壤处理防治地下害虫
玉米锈病,抽雄期,15%三唑酮可湿性粉剂,100.00 100克/亩,100.0,低毒,喷雾,1次,★★★★☆,28,对锈病有特效
玉米锈病,抽雄期,丙环唑-噻菌酯-凯润,40.00 40毫升/亩,450.0,低毒,喷雾,"2次, 间隔14天",★★★★☆,28,对玉米锈病有特效
玉米锈病,抽雄期,三唑酮-粉铵宁,50.00 50克/亩,100.0,低毒,喷雾,1次,★★★☆☆,28,经济型锈病防治药剂
玉米锈病,拔节期,30%苯醚甲环唑悬浮剂,15.00 15克/亩,280.0,低毒,喷雾,"2次, 间隔14天",★★★★★,21,内吸性杀菌剂，对锈病效果好
玉米锈病,灌浆期,吡唑醇酯酯-绿妃,40.00 40毫升/亩,500.0,低毒,喷雾,1次,★★★★★,21,高效杀菌剂，对锈病和斑病均有效
玉米锈病,灌浆期,丙环唑-噻菌酯-凯润,40.00 40毫升/亩,450.0,低毒,喷雾,1次,★★★★☆,28,对玉米锈病有特效
玉米黏虫,抽雄期,20%氯虫苯甲酰胺悬浮剂,10.00 10克/亩,800.0,微毒,喷雾,1次,★★★★☆,3,对玉米螟特效
玉米黏虫,拔节期,5%甲维盐乳油,50.00 50毫升/亩,320.0,中毒,喷雾,1次,★★★★★,7,对鳞翅目害虫高效
玉米黏虫,拔节期,高效氯氟氰菊酯-功夫,20.00 20毫升/亩,300.0,中毒,喷雾,1次,★★★★★,7,对玉米粘虫高效，速效性好
玉米黏虫,拔节期,溴氰菊酯-松杀死,15.00 15毫升/亩,280.0,中毒,喷雾,1次,★★★★☆,7,对鳞翅目害虫有良好防效
玉米黏虫,苗期,高效氯氟氰菊酯-功夫,20.00 20毫升/亩,300.0,中毒,喷雾,1次,★★★★★,7,对玉米粘虫高效，速效性好
玉米黏虫,苗期,溴氰菊酯-松杀死,15.00 15毫升/亩,280.0,中毒,喷雾,1次,★★★★☆,7,对鳞翅目害虫有良好防效
玉米黑粉病,抽雄期,戊唑醇-好力克,100.00 100克/亩,220.0,低毒,喷雾,1次,★★★☆☆,28,对黑粉病有良好防效
玉米黑粉病,拔节期,戊唑醇-好力克,100.00 100克/亩,220.0,低毒,喷雾,1次,★★★☆☆,28,对黑粉病有良好防效
玉米黑粉病,苗期,40%氟环唑悬浮剂,10.00 10克/亩,400.0,低毒,喷雾,1次,★★★★★,28,对黑粉病有特效
玉米黑粉病,苗期,50%多菌灵可湿性粉剂,75.00 75克/亩,40.0,低毒,拌种,1次,★★★★☆,14,广谱杀菌剂
